,Hotel_name,Rating,Coordinates,Description,Link,City
10,Hotel de l'île,"8,0","43.95694180,4.80294510","[""Situé à Avignon, à moins de 2,8 km du palais des papes et à 2,2 km du pont d'Avignon, l'Hotel de l'île propose un jardin et met gratuitement à votre disposition une connexion Wi-Fi dans l'ensemble de ses locaux ainsi qu'un parking privé. Il propose des chambres familiales et une terrasse. Vous pourrez profiter d'une vue sur le jardin."", 'Les chambres comprennent une armoire, une télévision à écran plat, une salle de bains privative, du linge de lit et des serviettes.', ""Vous séjournerez à 2,4 km de l'hôtel de ville d'Avignon et à 3,4 km de la CCI de Vaucluse. L'aéroport d'Avignon-Provence, le plus proche, est implanté à 13 km. "", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/de-l-ile-avignon.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
11,ibis Avignon Sud,"7,9","43.92607107,4.84903291","[""L'hôtel ibis Avignon Sud bénéficie d'un emplacement idéal à 3 km du centre-ville. L'établissement se situe à quelques minutes du centre de conventions et du pont d'Avignon. Il possède un jardin, une piscine extérieure et une terrasse bien exposée."", ""Les 93 chambres de l'ibis Avignon Sud sont équipées de la climatisation, d'une connexion Wi-Fi gratuite et d'une télévision par satellite avec les chaînes Canal+. Elles affichent un style moderne et disposent toutes d'une salle de bains privative pourvue d'une baignoire ou d'une douche."", ""Un petit-déjeuner buffet, composé de plats sucrés et salés, comme des œufs, de la salade de fruits, des yaourts et des jus, est servi chaque matin. Des viennoiseries cuites sur place, des madeleines fraîches ainsi qu'une boisson chaude et un fruit à emporter sont aussi proposés. Un petit-déjeuner plus léger est servi à partir de 4h00."", ""Le restaurant de l'hôtel propose des repas et des collations, tandis que le bar avec terrasse est ouvert 24h/24 et 7j/7."", ""L'ibis Avignon Sud se trouve au cœur de la Provence et des vignobles de Châteauneuf-du-Pape. Vous séjournerez à 5 km de la gare centrale d'Avignon et bénéficierez d'un parking privé gratuit sur place. "", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\nChaîne hôtelière/marque:\nibis\n']",<200 https://www.booking.com/hotel/fr/ibis-avignon-sud.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
12,Mercure Avignon Centre Palais des Papes,"7,8","43.94990136,4.80647698","['Proposant une connexion Wi-Fi gratuite ainsi que des chambres climatisées avec un coffre-fort, le Mercure Avignon Centre Palais des Papes est installé au cœur d’Avignon, sur la place centrale de l’Horloge, à 50 mètres du palais des papes et à 500 mètres du célèbre pont de la ville.', 'Les hébergements incluent un plateau de courtoisie, un réfrigérateur ainsi qu’une télévision par satellite à écran plat. Leur salle de bains privative est pourvue d’un sèche-cheveux ainsi que d’une baignoire ou d’une douche.', 'Chaque matin, vous pourrez savourer un petit-déjeuner buffet sur place. Vous aurez la possibilité de prendre vos repas au Bistrot Gabin, le restaurant de l’établissement.', ""Ce dernier constitue un excellent point de départ pour explorer la Provence. Vous séjournerez à seulement 8 minutes à pied des berges du Rhône, à 250 mètres d’un parking public ainsi qu’à environ 1 km de la gare d'Avignon-Centre. "", ""\nC'est le quartier préféré des voyageurs visitant Avignon, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\nChaîne hôtelière/marque:\nMercure\n']",<200 https://www.booking.com/hotel/fr/mercure-cite-des-papes.fr.html?label=gen173nr-1FCAMoTUIHYXZpZ25vbkgNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC16aNlAbAAgHSAiRlMTQxMjQzMi02NWNmLTQ2NGYtOWNlNS04Mjc0ZDg2ZjJlNjHYAgXgAgE&sid=ef4c1fc0086d64b80e070d87330090f5>,0
13,Hôtel restaurant d'application Lesdiguieres - Ecole hôtelière -,"8,6","45.16788300,5.71176000","[""Doté d'un bar et d'une vue sur la montagne, l'Hôtel restaurant d'application Lesdiguieres - Ecole hôtelière - est situé à Grenoble, à 2,8 km d'AlpExpo. Sur place, vous bénéficierez d’un bar, d’un restaurant, d’une réception ouverte 24h/24, d’une bagagerie et d’une connexion Wi-Fi gratuite dans l’ensemble des locaux. Les sites d'intérêt locaux tels que le stade des Alpes et la Bastille de Grenoble se trouvent respectivement à 3,8 km et 7 km."", 'Toutes les chambres comprennent un bureau, une télévision à écran plat et une salle de bains privative. Le linge de lit et les serviettes de toilette sont fournis. Chaque logement est pourvu d’un coffre-fort. Certains possèdent également un balcon et d’autres offrent une vue sur le jardin. Tous les hébergements comportent une armoire.', 'Un petit-déjeuner buffet et continental est servi tous les matins sur place.', ""Le centre des congrès WTC Grenoble se trouve à 3 km, tandis que la salle de spectacle Summum est à 2,9 km. L'aéroport le plus proche, celui de Grenoble - Isère, est installé à 47 km. "", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n', ""\nLes distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.\n""]",<200 https://www.booking.com/hotel/fr/lesdiguieres.fr.html?label=gen173nr-1FCAMoTUIIZ3Jlbm9ibGVIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQKIAgGoAgS4At6mjZQGwAIB0gIkMjVlZTI1MzktOTY4ZS00ODBkLThjODAtZDZhMGI5N2YwMDE22AIF4AIB&sid=62b71b5806dff56d60c341815247797b>,1
14,Le trente trois,"9,2","44.00964195,4.41788524","[""Situé à Uzès, l'établissement Le trente trois offre une vue sur le jardin et dispose d'une connexion Wi-Fi gratuite."", ""Revêtus de carrelage, les logements comprennent une kitchenette entièrement équipée avec un réfrigérateur, un coin repas, une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'une baignoire ou d'une douche et d'un sèche-cheveux. Vous disposerez de plaques de cuisson, d'un grille-pain, d'une bouilloire et d'une machine à café."", ""Vous séjournerez à 24 km de Nîmes et à 40 km d'Avignon. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 36 km. "", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/le-trente-trois.fr.html?label=gen173nr-1FCAMoTUIEdXplc0gNWARoFYgBAZgBDbgBGMgBDNgBAegBAfgBAogCAagCBLgC4aaNlAbAAgHSAiRhMGU3NGQ2Mi05NGE5LTQ0MjMtODAzZC01MGM4NzI2NjU1ZmLYAgXgAgE;sid=ef82c8d8698be08da667d7953012603f>,2
15,Empire Hôtel,"6,5","43.84030089,4.36314873","[""L'Empire Hôtel est situé au cœur de Nîmes, face à la cathédrale. Vous bénéficierez gratuitement d'une connexion Wi-Fi."", ""Toutes les chambres disposent d'un bureau, d'une télévision et d'une salle de bains privative. Certaines comportent également un balcon."", ""La gare TGV de Nîmes est à seulement 1 km. Vous séjournerez à 800 mètres des arènes romaines ainsi que du Carré d'Art et de son musée. "", ""\nC'est le quartier préféré des voyageurs visitant Nîmes, selon les commentaires clients indépendants.\n"", '\n', '\n']",<200 https://www.booking.com/hotel/fr/empire-nimes.fr.html?label=gen173nr-1FCAMoTUIFbmltZXNIDVgEaBWIAQGYAQ24ARjIAQzYAQHoAQH4AQKIAgGoAgS4AuOmjZQGwAIB0gIkOGJkYjI1MDgtOTk1Ni00MGQ4LWIyMzMtMGYyZTk1MTUwZDk02AIF4AIB&sid=4a6cb0773d82df9e28de81d0868d9f92>,3
16,Renaissance Aix-en-Provence Hotel,"8,1","43.52624048,5.43820493","[""Situé à moins de 10 minutes à pied du centre d'Aix-en-Provence, le Renaissance Aix-en-Provence Hotel propose une réception ouverte 24h/24, des journaux et une connexion Wi-Fi gratuite. Vous bénéficierez d'un accès gratuit au spa doté d'une piscine intérieure chauffée, d'un hammam, d'une salle de sport et de 2 cabines de soins. "", ""Offrant toutes une vue sur le jardin ou la ville, les chambres spacieuses comprennent une salle de bains privative pourvue d'une baignoire ou d'une douche."", ""Vous pourrez déguster un petit-déjeuner buffet, américain ou continental. Vous disposerez aussi d'un bistro et d'un bar sur place."", ""Vous séjournerez à 200 mètres du Grand Théâtre. Par ailleurs, vous aurez la possibilité de jouer au bowling à 1 km et au golf à 3 km ou de pratiquer l'équitation à 1,9 km. Enfin, l’aéroport Marseille-Provence est accessible à 25 minutes en voiture du Renaissance Aix-en-Provence Hotel. "", ""\nC'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\nChaîne hôtelière/marque:\nRenaissance Hotels & Resorts\n']",<200 https://www.booking.com/hotel/fr/renaissance-aix-en-provence.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
17,Hôtel Rotonde,"8,2","43.52391014,5.44249445","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Rotonde\xa0! "", ' pour économiser.', ""L'Hôtel Rotonde est situé dans le centre d'Aix-en-Provence, à 5 minutes à pied de la gare SNCF. La connexion Wi-Fi et le parking sur place, accessible sous réserve de disponibilité, sont proposés gratuitement."", 'Les chambres insonorisées comprennent la climatisation, une télévision par satellite et un minibar. Chacune possède une salle de bains pourvue d’un sèche-cheveux.', ""L'Hôtel Rotonde sert un petit-déjeuner buffet continental. Vous pourrez prendre un verre au bar ou sur la terrasse ombragée."", 'Vous séjournerez à 300 mètres du cours Mirabeau et à 30 km de l’aéroport de Marseille-Provence. ', ""\nC'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/rotonde.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
18,Hôtel des Augustins,"8,2","43.52688664,5.44727147","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel des Augustins\xa0! "", ' pour économiser.', ""Situé à côté du célèbre cours Mirabeau, au cœur de la vieille ville d'Aix-en-Provence, l'Hôtel Les Augustins se trouve dans les murs d'un couvent datant du XIIe siècle."", ""L'Hôtel Les Augustins, subtil mélange d'architecture historique et moderne, bénéficie d'un magnifique hall d'entrée."", ""L'hôtel propose des chambres spacieuses alliant l’architecture traditionnelle aux équipements modernes. Toutes les chambres sont climatisées et équipées d’une télévision et d’un minibar."", 'Le petit-déjeuner est servi tous les matins dans la salle à manger ou dans le confort de votre chambre. Vous pourrez profiter d’une connexion Wi-Fi gratuite dans l’ensemble des locaux, et d’une réception ouverte 24h/24. ', ""\nC'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/les-augustins.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
19,TheCamp Hotel&Lodges - Aix en Provence,"8,4","43.49631600,5.34215200","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement TheCamp Hotel&Lodges - Aix en Provence\xa0! "", ' pour économiser.', ""Situé à Aix-en-Provence, à 9 km du cours Mirabeau, l'établissement TheCamp Hotel&Lodges - Aix en Provence propose une piscine extérieure ouverte en saison, un parking privé gratuit, une salle de sport et un jardin. Il propose des chambres familiales et une terrasse bien exposée. Certains logements possèdent un balcon avec vue sur la piscine."", ""Toutes les chambres sont équipées de la climatisation, d'une télévision par satellite à écran plat, d'une bouilloire et d'un bureau. Certains logements disposent d'un coffre-fort. Leur salle de bains privative est pourvue d'une armoire."", 'Un petit-déjeuner buffet ou continental est servi sur place.', 'Vous pourrez pratiquer diverses activités à Aix-en-Provence et dans ses environs, telles que le vélo et la randonnée.', ""Vous séjournerez à 2,7 km du parc technologique de la Duranne et à 9 km de la cathédrale Saint-Sauveur. L'aéroport de Marseille-Provence, le plus proche, est implanté à 12 km. "", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/thecamp-amp-lodges.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
20,Aquabella Hôtel & Spa,"8,4","43.53126360,5.44507004","[""Entouré d'un magnifique jardin, l'Aquabella propose des chambres de style provençal ainsi qu'un accès gratuit au spa. Il est situé dans le centre d'Aix-en-Provence, à quelques pas de la vieille ville."", ""Les chambres de l'Aquabella sont toutes climatisées et équipées d'une connexion Wi-Fi gratuite ainsi que d'un minibar. Des peignoirs sont également fournis."", ""Vous pourrez déguster une cuisine méditerranéenne au restaurant de l'hôtel, L'Orangerie. Pendant les mois d'été, La Terrasse de la Tour, le restaurant-gril de l'établissement situé en plein air, sert des grillades et des salades au bord de la piscine extérieure."", ""Vous pourrez vous détendre au spa Sensoriel de l'Aquabella. Vous aurez accès au sauna, au hammam et au bain à remous. Vous y trouverez également une douche Kneipp et une fontaine de glace."", 'Vous trouverez un parking public à seulement 50 mètres, accessible moyennant un supplément. ', ""\nC'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/hotel-aquabella.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
21,Hôtel du Globe,"8,5","43.53004967,5.44414669","[""L'Hôtel du Globe est un établissement 3 étoiles situé dans le centre d'Aix-en-Provence, à 1 minute à pied des thermes Sextius et à 550 mètres du cours Mirabeau. Il propose une connexion Wi-Fi gratuite."", ""Aménagées dans un style contemporain, les chambres disposent d'une terrasse avec une vue panoramique sur la ville et la montagne Sainte-Victoire."", ""Chaque matin, vous dégusterez un petit-déjeuner buffet. De plus, vous bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux."", ""Doté d'une réception ouverte 24h/24, l'Hôtel du Globe constitue un lieu de séjour idéal pour visiter les principales attractions touristiques d'Aix-en-Provence. "", ""\nC'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/du-globe-aix-en-provence.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
22,Le Mas D'Entremont,"8,5","43.55038715,5.42617321","[""Le Mas D'Entremont vous accueille à seulement 3 km du centre-ville d'Aix-en-Provence. Il propose un grand jardin, une piscine, une salle de sport, une aire de jeux pour enfants et un court de tennis."", ""Toutes les chambres disposent d'une salle de bains privative, d'un balcon privé, d'une télévision par satellite et d'un minibar. Par ailleurs, une connexion Wi-Fi est disponible gratuitement."", 'Vous pourrez vous détendre sur la terrasse chauffée et déguster un menu de saison préparé à partir de produits frais locaux.', ""Le Mas D'Entremont se trouve à seulement 15 km de la gare TGV d'Aix-en-Provence et à 30 km de l'aéroport Marseille Provence. Le parking privé sur place est gratuit. "", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/mas-d-entremont.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
23,Hotel Particulier le 28 by Les Collectionneurs,"9,0","43.52477550,5.45022450","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Particulier le 28 by Les Collectionneurs\xa0! "", ' pour économiser.', ""Proposant un jardin privé avec 2 terrasses et un restaurant, Hotel Particulier le 28 by Les Collectionneurs est situé à Aix-en-Provence. Il dispose d'un parking privé sur place et d'une connexion Wi-Fi gratuite."", ""Les chambres climatisées possèdent une télévision par câble à écran plat. Certains logements comprennent un coin salon. Leur salle de bains privative est pourvue d'une baignoire."", ""L'établissement prépare un petit-déjeuner élaboré avec des produits locaux. Vous pourrez également dîner dans le jardin et profiter d'un service de garde d'enfants."", ""Vous séjournerez à 200 mètres du cours Mirabeau et à 800 mètres de la cathédrale Saint-Sauveur. L'aéroport le plus proche est celui de Marseille-Provence, situé à 21 km. "", ""\nC'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\nChaîne hôtelière/marque:\nles Collectionneurs\n']",<200 https://www.booking.com/hotel/fr/particulier-28-a-aix-aix-en-provence1.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
24,HOTEL RESTAURANT OLYMPE,"7,8","43.50803600,5.43945500","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement HOTEL RESTAURANT OLYMPE\xa0! "", ' pour économiser.', ""Situé à Aix-en-Provence, à 2,5 km du cours Mirabeau, l'HOTEL RESTAURANT OLYMPE dispose d’un restaurant, d’un parking privé gratuit, d’un salon commun et d’un jardin. L’établissement est installé à environ 3,4 km de la cathédrale Saint-Sauveur, à 2 km de la Faculté des arts, lettres, langues et sciences humaines d'Aix-Marseille et à 2,3 km de la bibliothèque les Méjanes. La réception est ouverte 24h/24 et vous bénéficierez gratuitement d’une connexion Wi-Fi dans l’ensemble des locaux."", ""Les chambres climatisées comportent une terrasse, un bureau, un coffre-fort, une télévision à écran plat et une salle de bains privative pourvue d’une douche. Chaque chambre de l'HOTEL RESTAURANT OLYMPE dispose de linge de lit et de serviettes."", 'L’établissement sert un petit-déjeuner à la carte.', 'L’HOTEL RESTAURANT OLYMPE se trouve à 2,6 km du centre d’art de Caumont et du musée Granet. L’aéroport Marseille-Provence, le plus proche, se trouve à 26 km. ', ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/restaurant-olympe.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
25,Hôtel Vendôme,"7,8","43.52891205,5.43827534","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Vendôme\xa0! "", ' pour économiser.', ""Situé à deux pas du centre historique d'Aix-en-Provence et du magnifique Pavillon de Vendôme, cet hôtel propose des chambres insonorisées, climatisées et équipées d'une télévision à écran plat avec chaînes satellite. Elles s'ouvrent sur une cour."", ""Toutes les chambres de l'Hôtel Vendôme comportent une salle de bains privative avec peignoirs. Elles disposent également d'un bureau et d'un téléphone ; une connexion Wi-Fi est disponible gratuitement dans l'ensemble de l'établissement."", 'Un petit-déjeuner continental est servi tous les matins et peut être savouré dans le confort de votre chambre. La réception est ouverte 24h/24 et des journaux quotidiens sont également à votre disposition.', ""L'Hôtel Vendôme se trouve à seulement 800 mètres du service de navette, qui pourra vous conduire à la gare TGV d'Aix-en-Provence. "", ""\nC'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/ha-tel-vendome.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
26,Adonis Arc Hotel Aix,"6,8","43.51371445,5.47021240","[""Situé au cœur de la Provence, l’Adonis Arc Hotel Aix se trouve à 5 minutes en voiture du centre-ville d'Aix-en-Provence. Il dispose d'une piscine extérieure ouverte en saison et d'une terrasse. La connexion Wi-Fi est gratuite."", ""Toutes les chambres sont pourvues d'une salle de bains privative avec une baignoire, d'un bureau, d'une télévision à écran plat et d'un téléphone."", 'Un petit-déjeuner buffet est proposé tous les jours. Vous pourrez commander des boissons au bar et les déguster au bord de la piscine. Des transats sont à votre disposition sur la terrasse bien exposée.', ""La réception est ouverte 24h/24. L'Adonis Arc Hotel Aix se trouve à seulement 3 minutes en voiture de l'autoroute A8, sortie 31, menant à Marseille ou à Nice. L'établissement possède un parking privé gratuit. "", '\n', '\nChaîne hôtelière/marque:\nAdonis\n']",<200 https://www.booking.com/hotel/fr/arc-aix-hotel.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
27,Hotel Cardinal,"8,4","43.52559870,5.45172080","[""L'Hotel Cardinal vous propose des chambres dotées de la climatisation et d'une salle de bains privative à Aix-en-Provence, à moins de 800 mètres du cours Mirabeau et de la cathédrale Saint-Sauveur, ainsi qu'à 3 minutes à pied de sites d'intérêt tels que le centre de Congrès d'Aix-en-Provence."", ""Les chambres et suites présentent une décoration individuelle, et disposent d'une machine à café et d'un bureau. Certaines comprennent également une kitchenette équipée d'un micro-ondes, d'un réfrigérateur et d'une plaque de cuisson."", ""Le personnel de la réception de l'Hotel Cardinal parle par ailleurs anglais et français."", ""Enfin, l'aéroport Marseille-Provence est installé à 21 km de l'établissement. "", ""\nC'est le quartier préféré des voyageurs visitant Aix-en-Provence, selon les commentaires clients indépendants.\n"", ""\nLes couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de "", ' pour un séjour à deux.\n', '\n', '\n']",<200 https://www.booking.com/hotel/fr/cardinal.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
28,Brit Hotel du Moulin de la Pioline - La Table à Fromages,"7,5","43.50683791,5.40910363","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Brit Hotel du Moulin de la Pioline - La Table à Fromages\xa0! "", ' pour économiser.', ""L'Hotel du Moulin de la Pioline La Table à Fromages vous accueille aux Milles, à 4,1 km du centre d'Aix-en-Provence et de sa gare ferroviaire. Vous pourrez profiter du jardin et vous détendre sur la terrasse meublée. Une connexion Wi-Fi gratuite est disponible dans tout l'établissement."", ""Les chambres insonorisées disposent de la climatisation, d'un bureau et d'une télévision par câble à écran plat. Chacune comprend également une salle de bains privative avec douche ou baignoire."", 'Un petit-déjeuner continental avec du jambon et du fromage est servi tous les jours dans la salle à manger du restaurant. Ce dernier sert également le dîner, avec notamment de nombreux types de fromage. Il est fermé le dimanche.', ""Le stationnement privé sur place est gratuit. L'hôtel se trouve à 15 km de l'aéroport Marseille Provence et à seulement 600 mètres de la sortie de l'autoroute A51. "", '\n', '\nChaîne hôtelière/marque:\nBrit Hotel\n']",<200 https://www.booking.com/hotel/fr/la-table-a-fromages.fr.html?label=gen173nr-1FCAMoTUIPYWl4LWVuLXByb3ZlbmNlSA1YBGgViAEBmAENuAEYyAEM2AEB6AEB-AECiAIBqAIEuALkpo2UBsACAdICJDgzYTI1ZGJkLTk0NDQtNDRlYy04ZjMyLWE5ZjRjYzE5MTJiYtgCBeACAQ&sid=def9822df7600db72c8d68d33c5dd97c>,4
